Year,Origin,Total_Flts,Delayed_Flts,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,PercentDelayed,iata,airport,city,state,country,lat,long
1987.0,ABQ,7866.0,1519.0,0.0,0.0,0.0,0.0,0.0,0.193109585558,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
1987.0,ATL,66309.0,14892.0,0.0,0.0,0.0,0.0,0.0,0.224584897978,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
1987.0,AUS,7206.0,1074.0,0.0,0.0,0.0,0.0,0.0,0.149042464613,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
1987.0,BDL,7676.0,1938.0,0.0,0.0,0.0,0.0,0.0,0.252475247525,BDL,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833
1987.0,BNA,13398.0,2298.0,0.0,0.0,0.0,0.0,0.0,0.171518137035,BNA,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222
1987.0,BOS,25250.0,7171.0,0.0,0.0,0.0,0.0,0.0,0.284,BOS,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917
1987.0,BUF,6948.0,1198.0,0.0,0.0,0.0,0.0,0.0,0.172423719056,BUF,Buffalo Niagara Intl,Buffalo,NY,USA,42.94052472,-78.73216667
1987.0,BUR,6548.0,1849.0,0.0,0.0,0.0,0.0,0.0,0.282376298106,BUR,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969
1987.0,BWI,16242.0,4945.0,0.0,0.0,0.0,0.0,0.0,0.304457579116,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833
1987.0,CLE,13691.0,2523.0,0.0,0.0,0.0,0.0,0.0,0.184281644876,CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667
1987.0,CLT,24518.0,8311.0,0.0,0.0,0.0,0.0,0.0,0.338975446611,CLT,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583
1987.0,CMH,6788.0,1391.0,0.0,0.0,0.0,0.0,0.0,0.204920447849,CMH,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278
1987.0,CVG,15483.0,5647.0,0.0,0.0,0.0,0.0,0.0,0.36472259898,CVG,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725
1987.0,DAL,8962.0,919.0,0.0,0.0,0.0,0.0,0.0,0.102544074983,DAL,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222
1987.0,DAY,9259.0,2849.0,0.0,0.0,0.0,0.0,0.0,0.307700615617,DAY,James M Cox Dayton Intl,Dayton,OH,USA,39.90237583,-84.219375
1987.0,DCA,22016.0,5140.0,0.0,0.0,0.0,0.0,0.0,0.233466569767,DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
1987.0,DEN,43376.0,9911.0,0.0,0.0,0.0,0.0,0.0,0.228490409443,DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
